item_mrp,item_outlet_sales,item_visibility,item_weight,source,outlet_years,item_fat_content_Low Fat,item_fat_content_Non-Edible,item_fat_content_Regular,outlet_location_type_Tier 1,outlet_location_type_Tier 2,outlet_location_type_Tier 3,outlet_size_High,outlet_size_Medium,outlet_size_Small,outlet_type_Grocery Store,outlet_type_Supermarket Type1,outlet_type_Supermarket Type2,outlet_type_Supermarket Type3,item_type_combined_Drinks,item_type_combined_Food,item_type_combined_Non-Consumable
39.7164,231.6984,0.165694219,12.85,train,24,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
237.6932,3083.45296,0.104338095,9.395,train,13,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
246.0776,990.7104,0.083198341,5.155,train,25,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
128.102,1564.0973600000002,0.04592756,13.541000000000002,train,13,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
150.8392,2982.784,0.010755465,8.21,train,35,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
200.0742,2578.909720000001,0.020814797,9.187,train,13,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
39.8506,1480.0734,0.079046992,15.2,train,37,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
47.1744,811.74336,0.106971167,14.818,train,13,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
48.2034,874.8612,0.072410764,14.7,train,23,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
189.3556,2253.0672,0.01612717,13.425999999999998,train,37,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
168.4132,3889.6036,0.141642219,9.444,train,25,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
45.5718,1039.9796,0.017536671,16.0,train,35,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
119.9098,2048.6666,0.072284689,5.765,train,18,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
156.8972,2318.3156000000004,0.145253944,10.169,train,15,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
147.176,585.904,0.114127418,11.603,train,37,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
95.6752,958.752,0.108148913,6.75,train,35,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
172.2448,2897.5616,0.058827383,14.5,train,25,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
208.9954,833.5816,0.046124444,10.894,train,23,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
184.4292,3101.2964,0.06619442,16.5,train,35,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
139.9838,1966.7732,0.172042892,9.395,train,15,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
91.683,757.9467200000001,0.133198355,15.499,train,13,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
148.0076,886.8456,0.033968647,6.48,train,20,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
258.3988,7452.9652,0.08165147,16.75,train,13,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
95.441,3089.312,0.024944396,16.1,train,18,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
218.4482,4819.0604,0.073906461,7.855,train,18,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
62.7194,990.7104,0.049058014,12.6,train,13,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
184.9608,2966.53848,0.176175402,10.793,train,13,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
112.2228,1396.31576,0.037824735,13.384,train,13,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
83.4934,1555.9746,0.041105789,6.98,train,25,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
235.1248,474.0496,0.031860325,15.2,train,24,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
109.6596,1746.7928800000002,0.036045991,13.674,train,13,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
226.2062,677.1186,0.132596101,18.25,train,24,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
178.437,2697.6884399999994,0.017131453,13.644,train,13,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
82.4276,1137.1864,0.183507295,14.15,train,25,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
94.1462,277.6386,0.124261614,13.832999999999998,train,13,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
84.1592,1320.9472,0.109459733,15.479,train,37,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
59.9878,484.7024,0.046545786,10.1,train,35,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
47.2402,780.1844400000001,0.235859408,14.818,train,13,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
218.0508,5426.27,0.020441939,15.35,train,15,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
65.9484,1174.4712,0.070699313,13.0,train,13,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
191.7846,573.2538,0.193772568,13.619,train,15,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
190.5872,1400.5768799999998,0.216478153,19.0,train,15,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
239.4564,5243.8408,0.167799329,9.895,train,18,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
117.8492,1711.63864,0.093862362,10.462,train,13,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
46.306,838.908,0.099887103,13.0,train,13,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
56.0614,994.7052,0.022059594,8.93,train,20,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
78.2302,554.6114,0.026428924,14.3,train,13,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
174.537,1235.059,0.029158763,9.695,train,18,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
158.4604,4278.4308,0.094697274,9.732,train,37,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
181.766,7370.406,0.065999008,13.306,train,23,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
102.1332,615.1992,0.026409147,15.5,train,13,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
168.45,2963.07632,0.182128363,11.652,train,13,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
193.4504,2876.256,0.083016832,10.8,train,15,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
86.0224,3579.3408,0.053027398,8.975,train,15,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
121.7098,4097.3332,0.071636937,12.831,train,37,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
172.808,2250.404,0.145631695,7.59,train,13,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
109.4596,2121.7714399999995,0.208987123,11.773,train,13,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
233.4958,5375.0034,0.077608838,19.5,train,15,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
146.5102,2770.3938,0.038606365,16.7,train,20,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
192.1846,1146.5076,0.076354362,12.65,train,13,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
123.473,369.519,0.0,12.151,train,37,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1
43.5454,538.6322,0.028711412,11.3,train,13,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
84.3592,1816.3024,0.019199733,20.5,train,25,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
145.047,3006.087,0.015673267,15.35,train,18,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
148.4708,3761.77,0.172629683,9.96,train,37,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
86.1224,852.224,0.035264298,15.479000000000005,train,20,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
191.253,2388.2246,0.091924311,13.303,train,13,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
114.1202,1093.64308,0.11521312,8.514,train,13,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
226.172,3169.208,0.042560252,7.365,train,25,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
212.8218,5770.4886,0.056919038,6.865,train,23,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
166.0526,2631.2416,0.025834128,14.973,train,13,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
196.9452,1839.47224,0.036921781,14.268,train,13,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
180.7634,2181.1608,0.041291169,14.0,train,25,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
130.1994,2093.00888,0.092272132,9.656,train,13,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
161.7578,4492.8184,0.109153001,20.75,train,13,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
113.4544,1866.63688,0.133385398,9.283,train,13,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
132.9626,3268.94484,0.112893408,12.277,train,13,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
165.0842,2320.9788,0.038705317,17.1,train,35,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
192.8846,2293.0152,0.04357366,13.619,train,37,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
229.0668,3225.1352,0.087977262,14.1,train,18,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
60.2904,644.4944,0.073480266,7.06,train,20,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
182.6266,3135.2522,0.015623754,17.5,train,13,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
58.8878,1151.1682,0.143129124,8.905,train,25,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
186.024,1118.544,0.078946455,13.65,train,20,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
116.1492,1274.3412,0.034640466,13.85,train,20,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
112.1228,1608.43964,0.1408005,11.086,train,13,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
106.2306,1297.6442000000002,0.087753682,11.229,train,13,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
184.795,3304.49856,0.074729835,10.943,train,13,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
186.2266,3678.67816,0.16147714,14.66,train,13,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
166.9184,660.4736,0.011211251,9.6,train,24,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
224.8088,5762.36584,0.197679823,14.013,train,15,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
130.0994,2017.90664,0.246678647,9.656,train,13,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
117.2492,2432.8332,0.008596051,11.8,train,13,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
158.8946,3225.1352,0.277459381,10.656,train,13,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
121.244,2504.2069600000004,0.080747059,9.293,train,13,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
155.134,2392.08624,0.011868237,9.188,train,13,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
219.4166,3862.9716,0.096658404,15.261,train,15,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
192.7478,387.4956,0.062606583,20.85,train,24,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
228.272,5206.556,0.173154079,19.0,train,15,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
97.341,965.41,0.039189221,17.6,train,35,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
89.4856,1142.5128,0.06358394,11.35,train,15,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
174.2422,5173.266,0.008033611,12.022,train,13,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
162.1236,2577.9776,0.137858955,8.895,train,23,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
41.748,414.1276,0.209600084,11.398,train,13,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
225.0404,5851.0504,0.05706009,16.0,train,25,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
248.675,4993.5,0.034823127,15.309,train,20,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
182.0318,5954.2494,0.035185588,12.726000000000004,train,25,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
160.7262,2864.2716,0.014577412,17.75,train,18,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
38.119,799.22632,0.072453062,16.68,train,13,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
103.0306,2404.2038,0.139436695,7.785,train,35,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
39.2848,295.34888,0.162461219,14.62,train,13,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
37.5506,113.8518,0.04874969,20.7,train,18,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
171.8764,3779.0808,0.165694678,13.15,train,18,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
180.266,898.83,0.149669322,13.35,train,20,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
121.7072,2817.6656,0.052166995,17.85,train,18,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
106.1622,2117.244,0.048331717,9.195,train,15,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
145.2444,1451.444,0.162980276,7.85,train,25,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
95.9752,95.8752,0.087854925,15.619,train,18,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
101.4674,2954.1546,0.093027718,5.32,train,23,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
99.8726,1337.32588,0.063850971,9.772,train,13,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
258.5646,6183.9504,0.078719835,8.05,train,13,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
239.6538,2403.538,0.017627888,10.195,train,18,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
225.3088,5000.95696,0.097275777,14.013,train,15,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
211.0928,4418.2488,0.022970468,6.785,train,18,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
174.708,3280.66292,0.07747657,11.876,train,13,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
122.3756,3392.9168,0.036344721,20.5,train,13,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
37.919,842.237,0.144094079,15.43,train,13,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
105.628,1810.976,0.013420879,16.35,train,13,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
37.0874,424.64724000000007,0.053148497,14.580000000000002,train,13,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
233.9642,3717.8272,0.056911107,10.6,train,20,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
