item_identifier,item_fat_content,item_mrp,item_outlet_sales,item_visibility,item_weight,outlet_identifier,outlet_location_type,outlet_size,outlet_type,source,item_type_combined,outlet_years
FDX40,Low Fat,39.7164,231.6984,0.165694219,12.85,OUT010,Tier 3,Small,Grocery Store,train,Food,24
FDA58,Low Fat,237.6932,3083.45296,0.104338095,9.395,OUT046,Tier 3,Small,Supermarket Type2,train,Food,13
FDB05,Low Fat,246.0776,990.7104,0.083198341,5.155,OUT046,Tier 1,Small,Supermarket Type1,train,Food,25
FDP20,Low Fat,128.102,1564.0973600000002,0.04592756,13.541000000000002,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
DRK11,Low Fat,150.8392,2982.784,0.010755465,8.21,OUT013,Tier 3,High,Supermarket Type1,train,Drinks,35
FDR35,Low Fat,200.0742,2578.9097200000006,0.020814797,9.187000000000001,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
NCZ17,Non-Edible,39.8506,1480.0734,0.079046992,15.2,OUT027,Tier 3,Medium,Supermarket Type3,train,Non-Consumable,37
FDX03,Regular,47.1744,811.74336,0.106971167,14.818000000000001,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDG57,Low Fat,48.2034,874.8612,0.072410764,14.7,OUT049,Tier 1,Small,Supermarket Type1,train,Food,23
FDE50,Regular,189.3556,2253.0672,0.01612717,13.425999999999998,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,37
FDD50,Low Fat,168.4132,3889.6036,0.141642219,9.443999999999999,OUT046,Tier 3,Small,Supermarket Type3,train,Food,25
FDQ51,Regular,45.5718,1039.9796,0.017536671,16.0,OUT013,Tier 3,High,Supermarket Type1,train,Food,35
FDO28,Low Fat,119.9098,2048.6666,0.072284689,5.765,OUT035,Tier 2,Small,Supermarket Type1,train,Food,18
FDG58,Regular,156.8972,2318.3156000000004,0.145253944,10.169,OUT049,Tier 3,Small,Supermarket Type3,train,Food,15
FDA14,Low Fat,147.176,585.904,0.114127418,11.603,OUT019,Tier 1,Small,Grocery Store,train,Food,37
FDT50,Regular,95.6752,958.752,0.108148913,6.75,OUT013,Tier 3,High,Supermarket Type1,train,Food,35
FDF57,Regular,172.2448,2897.5616,0.058827383,14.5,OUT046,Tier 1,Small,Supermarket Type1,train,Food,25
FDE16,Low Fat,208.9954,833.5816,0.046124444,10.894,OUT049,Tier 3,Small,Supermarket Type3,train,Food,23
FDR37,Regular,184.4292,3101.2964,0.06619442,16.5,OUT013,Tier 3,High,Supermarket Type1,train,Food,35
FDY08,Regular,139.9838,1966.7732,0.172042892,9.395,OUT017,Tier 2,Small,Supermarket Type1,train,Food,15
FDL36,Low Fat,91.683,757.9467200000001,0.133198355,15.499,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDA33,Low Fat,148.0076,886.8456,0.033968647,6.48,OUT045,Tier 2,Small,Supermarket Type1,train,Food,20
FDY55,Low Fat,258.3988,7452.9652,0.08165147,16.75,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,13
FDH20,Regular,95.441,3089.312,0.024944396,16.1,OUT035,Tier 3,Small,Supermarket Type1,train,Food,18
FDA26,Regular,218.4482,4819.0604,0.073906461,7.855,OUT035,Tier 2,Small,Supermarket Type1,train,Food,18
FDW11,Low Fat,62.7194,990.7104,0.049058014,12.6,OUT018,Tier 3,Small,Supermarket Type2,train,Food,13
NCO53,Non-Edible,184.9608,2966.53848,0.176175402,10.793,OUT049,Tier 3,Small,Supermarket Type3,train,Non-Consumable,13
FDE09,Low Fat,112.2228,1396.31576,0.037824735,13.384,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDK14,Low Fat,83.4934,1555.9746,0.041105789,6.98,OUT046,Tier 1,Small,Supermarket Type1,train,Food,25
FDT57,Low Fat,235.1248,474.0496,0.031860325,15.2,OUT010,Tier 3,Small,Grocery Store,train,Food,24
FDF33,Low Fat,109.6596,1746.7928800000002,0.036045991,13.674000000000001,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDK52,Low Fat,226.2062,677.1186,0.132596101,18.25,OUT013,Tier 3,Small,Supermarket Type1,train,Food,24
FDW60,Regular,178.437,2697.6884399999994,0.017131453,13.644,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
DRI49,Low Fat,82.4276,1137.1864,0.183507295,14.15,OUT046,Tier 1,Small,Supermarket Type1,train,Drinks,25
NCG43,Non-Edible,94.1462,277.6386,0.124261614,13.832999999999998,OUT045,Tier 3,Small,Supermarket Type3,train,Non-Consumable,13
FDZ08,Regular,84.1592,1320.9472,0.109459733,15.479,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,37
DRJ35,Low Fat,59.9878,484.7024,0.046545786,10.1,OUT013,Tier 3,High,Supermarket Type1,train,Drinks,35
FDU33,Regular,47.2402,780.1844400000001,0.235859408,14.818000000000001,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
DRI13,Low Fat,218.0508,5426.27,0.020441939,15.35,OUT017,Tier 3,Small,Supermarket Type1,train,Drinks,15
