item_mrp,item_outlet_sales,item_visibility,item_weight,outlet_years,item_fat_content_Low Fat,item_fat_content_Non-Edible,item_fat_content_Regular,outlet_location_type_Tier 1,outlet_location_type_Tier 2,outlet_location_type_Tier 3,outlet_size_High,outlet_size_Medium,outlet_size_Small,outlet_type_Grocery Store,outlet_type_Supermarket Type1,outlet_type_Supermarket Type2,outlet_type_Supermarket Type3,item_type_combined_Drinks,item_type_combined_Food,item_type_combined_Non-Consumable
118.8124,1767.0332,0.088053052,10.36,13,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
48.7718,236.359,0.024226902,19.6,25,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
255.2698,761.0094,0.164864915,10.726,15,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
142.2838,3348.7076800000004,0.190569038,10.513000000000002,13,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
102.7332,1948.1308,0.133424184,16.5,18,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
199.8084,3968.168,0.046214971,4.92,15,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
105.728,1278.336,0.152261999,7.0,15,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
60.9562,770.3306,0.068256316,11.767,13,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
193.4478,774.9912,0.149404057,20.75,24,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
84.925,665.8,0.045361705,15.479000000000005,20,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
212.9902,4672.5844,0.18520944,13.65,15,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
243.0196,5061.4116,0.182653772,19.2,25,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
155.8288,1099.9016,0.034658144,6.55,23,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
150.2392,3877.6192,0.140241213,13.35,15,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
250.9092,4346.74188,0.066672058,18.2,13,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
199.8084,4563.3932,0.115819014,11.8,15,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
147.1392,2237.088,0.032812669,17.1,15,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
182.6266,3135.2522,0.015623754,17.5,13,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
51.1324,259.662,0.098438394,8.5,15,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
141.718,419.454,0.028009382,17.5,23,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
216.8824,2838.9712,0.021327477,15.2,15,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
37.5506,113.8518,0.04874969,20.7,18,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
182.1318,5954.2494,0.063689583,16.1,15,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
